date,food_beverage,txtile_apparel,paper_wood,chemical,pharmaceutical,non-metalic_mineral,steel_metal,machinery,electrical_electronic,trans_equip,distribution,construction,trans_wharehouse,finance,banking,securities,insurance,manufacturing
1980-01-04,100.00 ,100.00 ,102.05 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,98.07 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 ,100.00 
1980-01-05,99.96 ,103.20 ,106.64 ,100.17 ,103.08 ,100.03 ,100.77 ,99.16 ,100.77 ,98.27 ,100.75 ,100.12 ,100.11 ,100.12 ,99.88 ,100.70 ,104.22 ,101.20 
1980-01-07,99.63 ,107.70 ,110.19 ,103.25 ,109.22 ,101.35 ,103.25 ,104.92 ,105.05 ,98.87 ,103.07 ,101.15 ,102.45 ,101.15 ,100.39 ,101.40 ,104.72 ,104.90 
1980-01-08,99.49 ,112.10 ,109.13 ,106.67 ,115.35 ,105.03 ,105.45 ,106.34 ,106.10 ,100.10 ,105.61 ,101.74 ,105.15 ,101.74 ,100.36 ,101.40 ,103.53 ,109.00 
1980-01-09,99.50 ,113.78 ,108.11 ,106.31 ,118.27 ,103.93 ,107.20 ,107.12 ,106.99 ,99.65 ,107.51 ,101.78 ,106.21 ,101.78 ,100.04 ,101.40 ,101.21 ,110.33 
1980-01-10,100.23 ,112.09 ,105.62 ,105.23 ,119.97 ,103.89 ,104.71 ,114.66 ,103.08 ,101.97 ,108.27 ,102.48 ,106.59 ,102.49 ,100.34 ,101.40 ,100.85 ,110.50 
1980-01-11,101.34 ,108.63 ,101.82 ,104.33 ,113.64 ,103.88 ,99.78 ,114.65 ,99.32 ,100.47 ,109.35 ,102.73 ,104.85 ,102.73 ,99.92 ,101.40 ,99.27 ,107.23 
1980-01-12,101.46 ,108.43 ,100.29 ,99.52 ,109.98 ,102.01 ,97.71 ,109.83 ,98.32 ,93.53 ,110.40 ,103.16 ,103.52 ,103.17 ,100.11 ,101.40 ,98.63 ,104.64 
1980-01-14,100.25 ,105.60 ,99.30 ,97.73 ,106.32 ,102.14 ,96.90 ,105.64 ,96.94 ,94.86 ,111.30 ,103.29 ,102.02 ,103.29 ,99.83 ,101.40 ,99.66 ,102.42 
1980-01-15,100.30 ,104.82 ,99.96 ,97.61 ,104.53 ,101.23 ,95.92 ,100.54 ,97.58 ,92.96 ,112.33 ,102.98 ,101.07 ,102.99 ,99.09 ,101.40 ,100.29 ,101.23 
1980-01-16,100.30 ,105.85 ,99.80 ,97.14 ,106.11 ,100.87 ,95.69 ,100.78 ,98.07 ,92.41 ,113.08 ,103.06 ,101.64 ,103.06 ,98.79 ,101.40 ,99.57 ,101.81 
1980-01-17,99.78 ,107.53 ,98.93 ,96.82 ,107.51 ,101.15 ,95.57 ,101.45 ,97.89 ,92.76 ,114.76 ,102.81 ,101.98 ,102.82 ,98.43 ,101.40 ,99.71 ,102.36 
1980-01-18,99.81 ,106.80 ,98.65 ,97.38 ,106.02 ,100.17 ,94.80 ,99.82 ,97.25 ,92.51 ,114.76 ,102.76 ,101.14 ,102.76 ,98.20 ,101.40 ,100.30 ,101.53 
1980-01-19,99.81 ,107.03 ,98.81 ,97.03 ,106.83 ,99.44 ,94.08 ,100.05 ,97.27 ,92.51 ,114.48 ,102.67 ,101.18 ,102.68 ,98.08 ,101.40 ,100.53 ,101.66 
1980-01-21,98.40 ,107.48 ,97.29 ,97.37 ,108.65 ,99.01 ,93.96 ,100.70 ,95.83 ,92.41 ,116.03 ,102.93 ,101.78 ,102.93 ,98.15 ,101.40 ,100.59 ,102.51 
1980-01-22,99.60 ,107.40 ,97.15 ,96.11 ,107.13 ,100.24 ,93.76 ,101.78 ,95.60 ,91.64 ,116.33 ,103.31 ,101.69 ,103.31 ,98.56 ,101.40 ,100.12 ,101.74 
1980-01-23,99.58 ,107.28 ,95.80 ,95.54 ,107.64 ,100.61 ,93.15 ,100.94 ,95.18 ,91.59 ,116.36 ,103.30 ,101.46 ,103.30 ,98.68 ,101.40 ,102.46 ,101.71 
1980-01-24,99.95 ,106.82 ,99.22 ,94.07 ,105.67 ,99.02 ,91.45 ,100.05 ,97.68 ,91.17 ,115.27 ,103.27 ,100.76 ,103.27 ,98.60 ,101.40 ,101.23 ,100.60 
1980-01-25,100.34 ,110.70 ,98.48 ,95.91 ,111.01 ,99.57 ,91.84 ,106.71 ,98.03 ,92.00 ,115.03 ,103.21 ,103.20 ,103.22 ,98.53 ,101.40 ,100.25 ,103.65 
1980-01-26,99.91 ,109.29 ,98.16 ,97.88 ,109.20 ,100.30 ,92.31 ,109.43 ,97.46 ,96.18 ,114.80 ,103.31 ,102.90 ,103.31 ,98.55 ,101.40 ,100.81 ,102.95 
1980-01-28,100.33 ,108.96 ,98.73 ,98.16 ,107.93 ,100.06 ,91.47 ,105.35 ,101.32 ,97.46 ,114.55 ,103.57 ,101.97 ,103.57 ,98.79 ,101.40 ,102.42 ,102.43 
1980-01-29,100.85 ,110.23 ,100.58 ,97.99 ,108.11 ,99.46 ,94.75 ,106.88 ,107.56 ,103.41 ,114.51 ,103.62 ,102.66 ,103.62 ,98.93 ,101.40 ,103.43 ,102.76 
1980-01-30,100.84 ,114.98 ,103.66 ,102.29 ,112.52 ,101.80 ,95.71 ,109.79 ,111.88 ,111.93 ,114.51 ,103.94 ,104.65 ,103.95 ,99.15 ,101.40 ,101.86 ,105.79 
1980-01-31,100.80 ,118.51 ,103.86 ,105.22 ,113.89 ,101.20 ,96.58 ,107.93 ,107.58 ,118.07 ,115.74 ,104.12 ,105.85 ,104.12 ,99.23 ,101.36 ,102.93 ,107.81 
1980-02-01,100.77 ,117.03 ,104.65 ,104.59 ,110.31 ,100.32 ,97.15 ,102.78 ,106.93 ,112.71 ,115.74 ,104.28 ,104.51 ,104.28 ,99.30 ,101.36 ,102.57 ,106.53 
1980-02-02,100.71 ,118.77 ,104.03 ,103.59 ,111.93 ,99.49 ,97.98 ,103.54 ,105.03 ,111.00 ,116.52 ,104.47 ,105.32 ,104.47 ,99.32 ,101.36 ,101.97 ,107.42 
1980-02-04,100.68 ,118.41 ,103.12 ,103.00 ,111.99 ,100.20 ,98.28 ,105.88 ,103.17 ,107.06 ,116.52 ,104.50 ,104.93 ,104.50 ,99.38 ,101.36 ,101.59 ,107.12 
1980-02-05,100.50 ,116.37 ,101.87 ,102.29 ,111.13 ,99.43 ,97.94 ,108.36 ,102.49 ,104.38 ,117.24 ,104.62 ,104.41 ,104.63 ,99.54 ,101.36 ,102.29 ,106.33 
1980-02-06,100.50 ,115.52 ,102.32 ,101.15 ,110.24 ,99.45 ,99.72 ,107.71 ,101.93 ,103.84 ,117.10 ,104.75 ,104.00 ,104.76 ,99.77 ,101.36 ,101.86 ,105.70 
1980-02-07,100.21 ,115.18 ,102.00 ,101.11 ,112.36 ,99.66 ,99.51 ,107.14 ,102.14 ,103.74 ,117.68 ,104.88 ,104.69 ,104.89 ,99.94 ,101.36 ,101.86 ,106.28 
1980-02-08,100.08 ,114.43 ,100.64 ,99.55 ,110.77 ,99.01 ,99.40 ,106.39 ,101.75 ,104.63 ,118.10 ,105.68 ,104.01 ,105.68 ,100.96 ,101.36 ,101.93 ,105.36 
1980-02-09,100.04 ,113.96 ,101.40 ,99.53 ,109.80 ,99.54 ,97.80 ,107.30 ,101.31 ,105.31 ,117.89 ,106.34 ,103.96 ,106.34 ,101.80 ,101.43 ,101.91 ,104.76 
1980-02-11,100.01 ,114.44 ,101.58 ,98.96 ,109.23 ,99.01 ,97.39 ,105.26 ,101.68 ,103.80 ,117.21 ,106.84 ,103.77 ,106.84 ,102.43 ,101.43 ,102.20 ,104.54 
1980-02-12,99.89 ,114.70 ,101.25 ,99.28 ,109.51 ,98.93 ,97.46 ,105.24 ,101.56 ,104.10 ,117.21 ,106.55 ,103.78 ,106.55 ,102.07 ,101.43 ,102.19 ,104.76 
1980-02-13,99.85 ,115.57 ,101.49 ,99.87 ,110.01 ,98.82 ,97.40 ,105.21 ,102.37 ,103.80 ,117.21 ,106.44 ,104.00 ,106.45 ,101.92 ,101.43 ,102.62 ,105.12 
1980-02-14,99.84 ,116.28 ,102.07 ,101.52 ,110.77 ,98.65 ,97.40 ,105.40 ,102.34 ,104.36 ,117.21 ,106.06 ,104.27 ,106.06 ,101.43 ,101.43 ,103.69 ,105.77 
1980-02-15,99.84 ,117.57 ,102.77 ,103.67 ,112.29 ,98.95 ,97.40 ,105.94 ,104.40 ,103.83 ,116.59 ,105.79 ,104.84 ,105.79 ,100.99 ,101.43 ,102.65 ,106.90 
1980-02-16,99.84 ,119.26 ,102.38 ,105.77 ,115.06 ,101.31 ,97.40 ,107.13 ,103.19 ,104.85 ,116.59 ,106.21 ,105.99 ,106.22 ,101.52 ,101.43 ,102.58 ,108.53 
1980-02-18,98.91 ,117.42 ,102.23 ,104.92 ,113.06 ,102.36 ,97.16 ,106.19 ,103.66 ,105.85 ,117.39 ,106.60 ,105.15 ,106.60 ,101.90 ,101.43 ,102.67 ,107.41 
1980-02-19,98.91 ,116.78 ,102.07 ,104.24 ,112.60 ,100.62 ,96.60 ,105.33 ,103.76 ,106.29 ,117.34 ,107.07 ,104.99 ,107.08 ,102.51 ,101.43 ,102.14 ,107.25 
1980-02-20,98.91 ,116.68 ,101.99 ,104.91 ,112.99 ,100.95 ,97.23 ,104.94 ,103.36 ,105.56 ,116.77 ,107.05 ,104.97 ,107.06 ,102.55 ,101.43 ,101.83 ,107.43 
1980-02-21,98.91 ,115.47 ,101.65 ,103.47 ,112.05 ,100.03 ,98.67 ,104.98 ,104.55 ,106.72 ,116.77 ,106.65 ,104.52 ,106.66 ,101.91 ,101.43 ,102.11 ,106.95 
1980-02-22,97.88 ,114.74 ,101.88 ,103.09 ,111.41 ,99.95 ,98.13 ,106.10 ,104.48 ,106.38 ,116.77 ,106.41 ,104.25 ,106.41 ,101.71 ,101.43 ,101.92 ,106.53 
1980-02-23,97.88 ,115.57 ,101.27 ,102.30 ,111.96 ,99.52 ,96.58 ,107.53 ,104.19 ,106.29 ,116.72 ,106.45 ,104.53 ,106.46 ,101.60 ,99.86 ,101.25 ,106.91 
1980-02-25,97.86 ,115.22 ,100.62 ,101.75 ,111.22 ,98.72 ,96.33 ,105.18 ,103.09 ,105.81 ,116.72 ,106.36 ,104.18 ,106.36 ,101.47 ,99.86 ,101.33 ,106.52 
1980-02-26,98.00 ,114.24 ,100.59 ,101.59 ,109.86 ,97.67 ,96.00 ,104.24 ,101.17 ,105.14 ,116.72 ,106.01 ,103.57 ,106.01 ,101.22 ,99.91 ,101.58 ,105.69 
1980-02-27,97.98 ,113.59 ,100.09 ,101.16 ,108.86 ,96.86 ,94.61 ,103.45 ,101.33 ,101.22 ,116.72 ,106.26 ,103.40 ,106.27 ,101.64 ,99.91 ,102.37 ,105.07 
1980-02-28,97.98 ,114.17 ,100.53 ,101.09 ,107.81 ,97.17 ,93.62 ,101.46 ,101.27 ,100.65 ,116.72 ,107.02 ,103.34 ,107.03 ,102.72 ,98.33 ,102.76 ,104.84 
1980-02-29,97.98 ,114.92 ,100.71 ,101.61 ,108.83 ,96.86 ,91.65 ,99.75 ,100.64 ,100.47 ,116.72 ,107.65 ,103.67 ,107.66 ,103.51 ,96.75 ,103.03 ,105.30 
1980-03-03,97.70 ,114.88 ,100.53 ,100.79 ,108.71 ,96.51 ,92.06 ,104.07 ,100.17 ,100.66 ,116.72 ,108.40 ,103.91 ,108.40 ,104.43 ,97.54 ,102.17 ,105.22 
1980-03-04,97.46 ,114.83 ,98.54 ,101.15 ,107.22 ,96.08 ,91.73 ,103.02 ,100.05 ,100.90 ,116.59 ,109.87 ,103.84 ,109.87 ,106.33 ,95.96 ,102.23 ,104.56 
1980-03-05,97.48 ,113.37 ,97.55 ,100.16 ,104.45 ,95.95 ,91.25 ,101.62 ,99.55 ,100.86 ,116.59 ,109.58 ,102.88 ,109.59 ,105.94 ,95.96 ,102.81 ,102.98 
1980-03-06,97.22 ,112.44 ,98.76 ,101.07 ,105.23 ,94.69 ,91.77 ,101.33 ,100.02 ,100.58 ,116.59 ,109.06 ,102.81 ,109.06 ,105.21 ,95.91 ,103.19 ,103.11 
1980-03-07,97.17 ,113.07 ,98.78 ,101.70 ,107.20 ,94.94 ,91.90 ,101.64 ,100.64 ,100.89 ,116.99 ,109.35 ,103.60 ,109.36 ,105.43 ,95.91 ,102.66 ,104.12 
